0 	 1 	 -0.00059230 	 0.03160366 	 -5.05285586
1 	 1 	 -0.00050924 	 0.02989021 	 -5.11721592
2 	 1 	 -0.00060666 	 0.03732107 	 -4.63054815
3 	 1 	 -0.00004373 	 0.01329749 	 -5.09123487
4 	 1 	 -0.00070568 	 0.03935474 	 -4.99970099
0 	 2 	 0.00088889 	 0.01892747 	 -5.30843812
1 	 2 	 -0.00036033 	 0.02460023 	 -5.51253638
2 	 2 	 -0.00052894 	 0.03308447 	 -4.93055858
3 	 2 	 -0.00011536 	 0.01650359 	 -4.93035213
4 	 2 	 -0.00069801 	 0.04000000 	 -4.73841643
0 	 3 	 0.00037037 	 -0.00540912 	 -6.80098206
1 	 3 	 -0.00040193 	 0.02568304 	 -5.23448904
2 	 3 	 -0.00043102 	 0.02857336 	 -5.03193668
3 	 3 	 -0.00001000 	 0.01196940 	 -5.16350280
4 	 3 	 -0.00080061 	 0.04592361 	 -4.64511214
0 	 4 	 -0.00066228 	 0.03621970 	 -5.07743838
1 	 4 	 0.00032713 	 -0.00462596 	 -7.14032514
2 	 4 	 -0.00059671 	 0.03389348 	 -5.01273133
3 	 4 	 -0.00003306 	 0.01220641 	 -5.17210423
4 	 4 	 -0.00061218 	 0.03247629 	 -5.14661038
0 	 5 	 -0.00005725 	 0.01354739 	 -5.78503920
1 	 5 	 0.00014632 	 0.00082572 	 -6.66535006
2 	 5 	 -0.00046027 	 0.02867337 	 -5.07855885
3 	 5 	 -0.00002738 	 0.01104579 	 -5.22040341
4 	 5 	 -0.00075603 	 0.04279954 	 -4.99945025
0 	 6 	 -0.00068248 	 0.03784627 	 -4.99361493
1 	 6 	 -0.00024699 	 0.01614003 	 -5.86462099
2 	 6 	 -0.00046701 	 0.02786502 	 -5.09698968
3 	 6 	 -0.00006724 	 0.01315693 	 -5.21592758
4 	 6 	 -0.00071952 	 0.04055618 	 -4.99688558
